 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
임용 3개년 경쟁률·합격선 추이 |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
과목명 | TO |  |  | 지원인원 |  |  | 경쟁률 |  |  | 1차 합격선 |  |  | 2차 합격선 |  | 
 | 2026년 | 2025년 | 2024년 | 2026년 | 2025년 | 2024년 | 2026년 | 2025년 | 2024년 | 2026년 | 2025년 | 2024년 | 2026년 | 2025년 | 2024년
가정 | 119 | 125 | 148 | 793 | 860 | 946 | 7 | 7 | 6 | 59 | 68 | 65 | 155 | 162 | 163
건설 | 12 | 22 | 0 | 68 | 110 | 0 | 6 | 5 | 0 | 65 | 59 | 0 | 158 | 157 | 0
국어 | 782 | 612 | 454 | 5502 | 5259 | 5040 | 7 | 9 | 11 | 65 | 61 | 157 | 160 | 76 | 172
기계 | 63 | 70 | 62 | 291 | 332 | 342 | 5 | 5 | 6 | 61 | 64 | 65 | 155 | 159 | 157
기술 | 142 | 120 | 165 | 419 | 405 | 437 | 3 | 3 | 3 | 57 | 61 | 53 | 153 | 158 | 147
농공 | 0 | 4 | 0 | 0 | 32 | 0 | 0 | 8 | 0 | 0 | 62 | 0 | 0 | 156 | 0
도덕윤리 | 380 | 291 | 245 | 1630 | 1474 | 1371 | 4 | 5 | 6 | 65 | 61 | 61 | 163 | 160 | 159
동물자원 | 13 | 0 | 7 | 65 | 0 | 77 | 5 | 0 | 11 | 67 | 0 | 72 | 171 | 0 | 0
물리 | 261 | 170 | 141 | 862 | 785 | 833 | 3 | 5 | 6 | 49 | 57 | 64 | 141 | 152 | 158
미술 | 186 | 185 | 159 | 1411 | 1401 | 1585 | 8 | 8 | 10 | 68 | 64 | 62 | 156 | 151 | 147
미용 | 11 | 0 | 0 | 115 | 0 | 0 | 11 | 0 | 0 | 78 | 0 | 0 | 174 | 0 | 0
보건(중등) | 203 | 210 | 240 | 1404 | 1382 | 1790 | 7 | 7 | 8 | 54 | 63 | 70 | 148 | 159 | 166
보건(초등) | 205 | 127 | 92 | 1243 | 662 | 571 | 6 | 5 | 6 | 54 | 63 | 71 | 148 | 159 | 169
사서(중등) | 44 | 41 | 65 | 541 | 495 | 571 | 12 | 12 | 9 | 76 | 82 | 75 | 168 | 179 | 174
사서(초등) | 35 | 9 | 11 | 332 | 77 | 86 | 10 | 9 | 8 | 74 | 82 | 74 | 167 | 176 | 173
상업 | 29 | 17 | 26 | 200 | 189 | 224 | 7 | 11 | 9 | 62 | 65 | 72 | 153 | 158 | 169
생물 | 279 | 194 | 165 | 1341 | 1226 | 1336 | 5 | 6 | 8 | 64 | 72 | 75 | 158 | 167 | 168
수학 | 872 | 638 | 477 | 3319 | 3131 | 3179 | 4 | 5 | 7 | 56 | 57 | 50 | 153 | 155 | 145
식물자원조경 | 9 | 0 | 16 | 138 | 0 | 174 | 15 | 0 | 11 | 74 | 0 | 61 | 163 | 0 | 160
식품가공 | 0 | 23 | 0 | 0 | 138 | 0 | 0 | 6 | 0 | 0 | 76 | 0 | 0 | 170 | 0
역사 | 338 | 246 | 207 | 2602 | 2513 | 2514 | 8 | 10 | 12 | 67 | 67 | 63 | 163 | 163 | 158
연극영화 | 17 | 0 | 0 | 130 | 0 | 0 | 8 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
영양 | 226 | 213 | 231 | 1727 | 1592 | 1680 | 8 | 8 | 7 | 67 | 67 | 70 | 161 | 163 | 166
영어 | 697 | 518 | 386 | 3651 | 3350 | 3331 | 5 | 7 | 9 | 64 | 76 | 72 | 158 | 169 | 165
음악 | 177 | 172 | 162 | 1896 | 1813 | 2071 | 11 | 11 | 13 | 69 | 70 | 81 | 157 | 155 | 166
일반사회 | 374 | 214 | 189 | 1789 | 1493 | 1535 | 5 | 7 | 8 | 78 | 80 | 83 | 175 | 175 | 179
일본어 | 32 | 31 | 33 | 247 | 279 | 312 | 8 | 9 | 10 | 62 | 56 | 59 | 157 | 148 | 154
전기 | 32 | 31 | 31 | 135 | 166 | 177 | 4 | 5 | 6 | 56 | 62 | 66 | 153 | 156 | 163
전문상담(중등) | 149 | 124 | 225 | 1767 | 1697 | 1855 | 12 | 14 | 8 | 70 | 75 | 68 | 164 | 170 | 163
전문상담(초등) | 123 | 43 | 71 | 1314 | 512 | 578 | 11 | 12 | 8 | 69 | 0 | 69 | 164 | 0 | 164
전자 | 31 | 39 | 26 | 145 | 137 | 140 | 5 | 4 | 5 | 55 | 58 | 61 | 146 | 153 | 156
정보컴퓨터 | 301 | 223 | 194 | 924 | 824 | 811 | 3 | 4 | 4 | 49 | 62 | 62 | 141 | 156 | 157
조리 | 9 | 0 | 7 | 90 | 0 | 105 | 10 | 0 | 15 | 77 | 0 | 76 | 161 | 0 | 0
중국어 | 6 | 0 | 0 | 205 | 0 | 0 | 34 | 0 | 0 | 79 | 0 | 0 | 0 | 0 | 0
지구과학 | 203 | 129 | 119 | 820 | 689 | 739 | 4 | 5 | 6 | 55 | 66 | 54 | 148 | 162 | 149
지리 | 214 | 162 | 138 | 1103 | 1047 | 1011 | 5 | 7 | 7 | 83 | 79 | 83 | 178 | 173 | 177
체육 | 568 | 489 | 380 | 3608 | 3378 | 3328 | 6 | 7 | 9 | 70 | 68 | 75 | 156 | 153 | 157
특수(중등) | 266 | 271 | 246 | 2018 | 2183 | 2333 | 8 | 8 | 10 | 68 | 77 | 62 | 164 | 172 | 156
한문 | 43 | 44 | 44 | 367 | 403 | 434 | 9 | 9 | 10 | 71 | 78 | 75 | 167 | 174 | 174
화공섬유 | 0 | 13 | 0 | 0 | 69 | 0 | 0 | 5 | 0 | 0 | 62 | 0 | 0 | 160 | 0
화학 | 269 | 184 | 164 | 980 | 908 | 914 | 4 | 5 | 6 | 52 | 61 | 60 | 147 | 158 | 154
총합 | 7720 | 6004 | 5326 | 45192 | 41011 | 42430 |  |  |  |  |  |  |  |  | 
